X,Y
669507.065,2577090.031
669517.065,2577090.031
669527.065,2577090.031
669537.065,2577090.031
669547.065,2577090.031
669557.065,2577090.031
669567.065,2577090.031
669577.065,2577090.031
669587.065,2577090.031
669597.065,2577090.031
669607.065,2577090.031
669617.065,2577090.031
669627.065,2577090.031
669637.065,2577090.031
669647.065,2577090.031
669657.065,2577090.031
669667.065,2577090.031
669677.065,2577090.031
669687.065,2577090.031
669697.065,2577090.031
669707.065,2577090.031
669717.065,2577090.031
669727.065,2577090.031
669737.065,2577090.031
669747.065,2577090.031
669757.065,2577090.031
669767.065,2577090.031
669777.065,2577090.031
669787.065,2577090.031
669797.065,2577090.031
669807.065,2577090.031
669817.065,2577090.031
669827.065,2577090.031
669837.065,2577090.031
669847.065,2577090.031
669857.065,2577090.031
669867.065,2577090.031
669877.065,2577090.031
669887.065,2577090.031
669897.065,2577090.031
669907.065,2577090.031
669917.065,2577090.031
669927.065,2577090.031
669937.065,2577090.031
669947.065,2577090.031
669957.065,2577090.031
669967.065,2577090.031
669977.065,2577090.031
669987.065,2577090.031
669997.065,2577090.031
670007.065,2577090.031
670017.065,2577090.031
670027.065,2577090.031
670037.065,2577090.031
670047.065,2577090.031
670057.065,2577090.031
670067.065,2577090.031
670077.065,2577090.031
670087.065,2577090.031
670097.065,2577090.031
670107.065,2577090.031
670117.065,2577090.031
670127.065,2577090.031
670137.065,2577090.031
670147.065,2577090.031
670157.065,2577090.031
670167.065,2577090.031
670177.065,2577090.031
670187.065,2577090.031
670197.065,2577090.031
670207.065,2577090.031
670217.065,2577090.031
670227.065,2577090.031
670237.065,2577090.031
670247.065,2577090.031
670257.065,2577090.031
670677.065,2577090.031
670687.065,2577090.031
670697.065,2577090.031
670707.065,2577090.031
670717.065,2577090.031
670727.065,2577090.031
670737.065,2577090.031
670747.065,2577090.031
670757.065,2577090.031
670767.065,2577090.031
670777.065,2577090.031
670787.065,2577090.031
670797.065,2577090.031
670807.065,2577090.031
670817.065,2577090.031
670827.065,2577090.031
670837.065,2577090.031
670847.065,2577090.031
670857.065,2577090.031
670867.065,2577090.031
670877.065,2577090.031
670887.065,2577090.031
670897.065,2577090.031
670907.065,2577090.031
670917.065,2577090.031
670927.065,2577090.031
670937.065,2577090.031
670947.065,2577090.031
670957.065,2577090.031
670967.065,2577090.031
670977.065,2577090.031
670987.065,2577090.031
670997.065,2577090.031
671007.065,2577090.031
671017.065,2577090.031
671027.065,2577090.031
671037.065,2577090.031
671047.065,2577090.031
671057.065,2577090.031
671067.065,2577090.031
671077.065,2577090.031
671087.065,2577090.031
671097.065,2577090.031
671107.065,2577090.031
671117.065,2577090.031
671127.065,2577090.031
671137.065,2577090.031
671147.065,2577090.031
671157.065,2577090.031
671167.065,2577090.031
671177.065,2577090.031
671187.065,2577090.031
671197.065,2577090.031
671207.065,2577090.031
671217.065,2577090.031
671227.065,2577090.031
671237.065,2577090.031
671247.065,2577090.031
671257.065,2577090.031
671267.065,2577090.031
671277.065,2577090.031
671287.065,2577090.031
671297.065,2577090.031
671307.065,2577090.031
671317.065,2577090.031
671327.065,2577090.031
671337.065,2577090.031
671347.065,2577090.031
671357.065,2577090.031
671367.065,2577090.031
671377.065,2577090.031
671387.065,2577090.031
671397.065,2577090.031
671407.065,2577090.031
671417.065,2577090.031
671427.065,2577090.031
671437.065,2577090.031
671447.065,2577090.031
671457.065,2577090.031
671467.065,2577090.031
671477.065,2577090.031
671487.065,2577090.031
671497.065,2577090.031
669507.065,2577080.031
669517.065,2577080.031
669527.065,2577080.031
669537.065,2577080.031
669547.065,2577080.031
669557.065,2577080.031
669567.065,2577080.031
669577.065,2577080.031
669587.065,2577080.031
669597.065,2577080.031
669607.065,2577080.031
669617.065,2577080.031
669627.065,2577080.031
669637.065,2577080.031
669647.065,2577080.031
669657.065,2577080.031
669667.065,2577080.031
669677.065,2577080.031
669687.065,2577080.031
669697.065,2577080.031
669707.065,2577080.031
669717.065,2577080.031
669727.065,2577080.031
669737.065,2577080.031
669747.065,2577080.031
669757.065,2577080.031
669767.065,2577080.031
669777.065,2577080.031
669787.065,2577080.031
669797.065,2577080.031
669807.065,2577080.031
669817.065,2577080.031
669827.065,2577080.031
669837.065,2577080.031
669847.065,2577080.031
669857.065,2577080.031
669867.065,2577080.031
669877.065,2577080.031
669887.065,2577080.031
669897.065,2577080.031
669907.065,2577080.031
669917.065,2577080.031
669927.065,2577080.031
669937.065,2577080.031
669947.065,2577080.031
669957.065,2577080.031
669967.065,2577080.031
669977.065,2577080.031
669987.065,2577080.031
669997.065,2577080.031
670007.065,2577080.031
670017.065,2577080.031
670027.065,2577080.031
670037.065,2577080.031
670047.065,2577080.031
670057.065,2577080.031
670067.065,2577080.031
670077.065,2577080.031
670087.065,2577080.031
670097.065,2577080.031
670107.065,2577080.031
670117.065,2577080.031
670127.065,2577080.031
670137.065,2577080.031
670147.065,2577080.031
670157.065,2577080.031
670167.065,2577080.031
670177.065,2577080.031
670187.065,2577080.031
670197.065,2577080.031
670207.065,2577080.031
670217.065,2577080.031
